Semana,MUNICIPIO,GFS,MERGE,REGIAO
2025-02-23,ALTO BELA VISTA,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,ALTO BELA VISTA,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,ARABUTA,"1,80","8,75",ALTO URUGUAI CATARINENSE
2025-03-02,ARABUTA,"1,45","0,60",ALTO URUGUAI CATARINENSE
2025-02-23,CONCORDIA,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,CONCORDIA,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,IPIRA,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,IPIRA,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,IPUMIRIM,"1,80","8,75",ALTO URUGUAI CATARINENSE
2025-03-02,IPUMIRIM,"1,45","0,60",ALTO URUGUAI CATARINENSE
2025-02-23,IRANI,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,IRANI,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,ITA,"1,80","8,75",ALTO URUGUAI CATARINENSE
2025-03-02,ITA,"1,45","0,60",ALTO URUGUAI CATARINENSE
2025-02-23,LINDOIA DO SUL,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,LINDOIA DO SUL,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,PERITIBA,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,PERITIBA,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,PIRATUBA,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,PIRATUBA,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,PRESIDENTE CASTELLO BRANCO,"1,80","1,92",ALTO URUGUAI CATARINENSE
2025-03-02,PRESIDENTE CASTELLO BRANCO,"1,45","0,85",ALTO URUGUAI CATARINENSE
2025-02-23,SEARA,"1,80","8,75",ALTO URUGUAI CATARINENSE
2025-03-02,SEARA,"1,45","0,60",ALTO URUGUAI CATARINENSE
2025-02-23,XAVANTINA,"1,80","8,75",ALTO URUGUAI CATARINENSE
2025-03-02,XAVANTINA,"1,45","0,60",ALTO URUGUAI CATARINENSE
2025-02-23,AGROLANDIA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,AGROLANDIA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,AGRONÔMICA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,AGRONÔMICA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,ATALANTA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,ATALANTA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,AURORA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,AURORA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,BRAÇO DO TROMBUDO,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,BRAÇO DO TROMBUDO,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,CHAPADAO DO LAGEADO,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,CHAPADAO DO LAGEADO,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,DONA EMMA,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,DONA EMMA,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,IBIRAMA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,IBIRAMA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,IMBUIA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,IMBUIA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,ITUPORANGA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,ITUPORANGA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,JOSE BOITEUX,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,JOSE BOITEUX,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,LAURENTINO,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,LAURENTINO,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,LONTRAS,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,LONTRAS,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,MIRIM DOCE,"3,54","19,67",ALTO VALE DO ITAJAI
2025-03-02,MIRIM DOCE,"1,17","0,04",ALTO VALE DO ITAJAI
2025-02-23,PETROLANDIA,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,PETROLANDIA,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,POUSO REDONDO,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,POUSO REDONDO,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,PRESIDENTE GETÚLIO,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,PRESIDENTE GETÚLIO,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,PRESIDENTE NEREU,"1,98",5,ALTO VALE DO ITAJAI
2025-03-02,PRESIDENTE NEREU,"1,34","0,14",ALTO VALE DO ITAJAI
2025-02-23,RIO DO CAMPO,"3,27","3,5",ALTO VALE DO ITAJAI
2025-03-02,RIO DO CAMPO,"2,38","0,32",ALTO VALE DO ITAJAI
2025-02-23,RIO DO OESTE,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,RIO DO OESTE,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,RIO DO SUL,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,RIO DO SUL,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,SALETE,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,SALETE,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,SANTA TEREZINHA,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,SANTA TEREZINHA,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,TAIO,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,TAIO,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,TROMBUDO CENTRAL,"3,54",5,ALTO VALE DO ITAJAI
2025-03-02,TROMBUDO CENTRAL,"1,17","0,14",ALTO VALE DO ITAJAI
2025-02-23,VIDAL RAMOS,"1,98",5,ALTO VALE DO ITAJAI
2025-03-02,VIDAL RAMOS,"1,34","0,14",ALTO VALE DO ITAJAI
2025-02-23,VITOR MEIRELES,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,VITOR MEIRELES,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,WITMARSUM,"3,27",2,ALTO VALE DO ITAJAI
2025-03-02,WITMARSUM,"2,38","0,22",ALTO VALE DO ITAJAI
2025-02-23,ARROIO TRINTA,"3,67","8,94",ALTO VALE DO RIO DO PEIXE
2025-03-02,ARROIO TRINTA,"1,90","11,70",ALTO VALE DO RIO DO PEIXE
2025-02-23,CAÇADOR,"3,67","3,5",ALTO VALE DO RIO DO PEIXE
2025-03-02,CAÇADOR,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,CALMON,"3,67","3,5",ALTO VALE DO RIO DO PEIXE
2025-03-02,CALMON,"1,90","0,32",ALTO VALE DO RIO DO PEIXE
2025-02-23,CURITIBANOS,"4,13","6,55",ALTO VALE DO RIO DO PEIXE
2025-03-02,CURITIBANOS,"0,94","0,04",ALTO VALE DO RIO DO PEIXE
2025-02-23,FRAIBURGO,"4,13",2,ALTO VALE DO RIO DO PEIXE
